feature,commitPathFacts,sourceBranches,taskUpdated
F-ACC-001,99,codex/f-acc-001-sds,True
F-ACC-002,330,codex/f-acc-001-sds,True
F-COM-001,500,codex/f-acc-001-sds;codex/f-cut-001-matrices,True
F-CUT-001,71,codex/f-cut-001-matrices,True
F-CUT-002,146,codex/f-cut-001-matrices,True
F-CUT-003,130,codex/f-cut-001-matrices,True
F-CUT-004,174,codex/f-cut-001-matrices,True
F-CUT-005,192,codex/f-cut-001-matrices,True
F-CUT-006,116,codex/f-cut-001-matrices,True
F-CUT-007,51,codex/f-cut-001-matrices,True
F-CUT-008,75,codex/f-cut-001-matrices,True
F-CUT-009,59,codex/f-cut-001-matrices,True
F-CUT-010,25,codex/f-cut-001-matrices,True
F-CUT-011,4,codex/f-cut-001-matrices,False
F-IMP-001,25,codex/f-cut-001-matrices,True
F-IMP-002,343,codex/f-cut-001-matrices,True
F-INT-012,104,codex/f-cut-001-matrices;prereq-parallel-check-kKiAdn,True
