branch,commit,feature,path,decision,recordType,subject
codex/f-acc-001-sds,57a87430a6c0e723078647b5327d76718b6a5c0f,UNMAPPED,docs/traceability/requirement-matrix.md,EXCLUDED_NON_CODE,decision,docs(commerce): 新增 COM-01 Feature Ready 候选
codex/f-acc-001-sds,57a87430a6c0e723078647b5327d76718b6a5c0f,UNMAPPED,docs/traceability/requirement-version-coverage.json,EXCLUDED_NON_CODE,decision,docs(commerce): 新增 COM-01 Feature Ready 候选
codex/f-acc-001-sds,57a87430a6c0e723078647b5327d76718b6a5c0f,F-COM-001,specs/features/F-COM-001-contract-order-association-and-delivery-scope-allocation.md,EXCLUDED_NON_CODE,decision,docs(commerce): 新增 COM-01 Feature Ready 候选
codex/f-acc-001-sds,57a87430a6c0e723078647b5327d76718b6a5c0f,F-COM-001,specs/features/F-COM-001-legacy-reuse-audit.md,EXCLUDED_NON_CODE,decision,docs(commerce): 新增 COM-01 Feature Ready 候选
codex/f-acc-001-sds,57a87430a6c0e723078647b5327d76718b6a5c0f,F-COM-001,specs/features/F-COM-001-physical-contract.json,EXCLUDED_NON_CODE,decision,docs(commerce): 新增 COM-01 Feature Ready 候选
codex/f-acc-001-sds,57a87430a6c0e723078647b5327d76718b6a5c0f,UNMAPPED,specs/features/README.md,EXCLUDED_NON_CODE,decision,docs(commerce): 新增 COM-01 Feature Ready 候选
codex/f-acc-001-sds,57a87430a6c0e723078647b5327d76718b6a5c0f,UNMAPPED,-,NO_NET_CODE_CHANGE,decision,docs(commerce): 新增 COM-01 Feature Ready 候选
codex/f-acc-001-sds,770c91b777382e391658e0d13c704ffa3c130d37,UNMAPPED,"""\351\234\200\346\261\202/PRD-\351\241\271\347\233\256\345\256\236\346\226\275\344\272\244\344\273\230\347\256\241\347\220\206\345\271\263\345\217\260.md""",EXCLUDED_NON_CODE,decision,docs(prd): 基线化COM订单范围办事处语义
codex/f-acc-001-sds,770c91b777382e391658e0d13c704ffa3c130d37,UNMAPPED,"""docs/reports/2026-08-29-PRD-V1.8\344\277\256\350\256\242008\345\237\272\347\272\277\345\217\230\346\233\264\346\212\245\345\221\212.md""",EXCLUDED_NON_CODE,decision,docs(prd): 基线化COM订单范围办事处语义
codex/f-acc-001-sds,770c91b777382e391658e0d13c704ffa3c130d37,UNMAPPED,"""specs/001-project-delivery-platform/domains/COM-\345\220\210\345\220\214\350\256\242\345\215\225\345\261\245\347\272\246\351\234\200\346\261\202\350\247\204\346\240\274.md""",EXCLUDED_NON_CODE,decision,docs(prd): 基线化COM订单范围办事处语义
codex/f-acc-001-sds,770c91b777382e391658e0d13c704ffa3c130d37,UNMAPPED,docs/baseline/baseline-signoff.md,EXCLUDED_NON_CODE,decision,docs(prd): 基线化COM订单范围办事处语义
codex/f-acc-001-sds,770c91b777382e391658e0d13c704ffa3c130d37,UNMAPPED,docs/baseline/prd-v1.8-amendment-008-commerce-office-scope-location.md,EXCLUDED_NON_CODE,decision,docs(prd): 基线化COM订单范围办事处语义
codex/f-acc-001-sds,770c91b777382e391658e0d13c704ffa3c130d37,UNMAPPED,docs/baseline/prd-v1.8.md,EXCLUDED_NON_CODE,decision,docs(prd): 基线化COM订单范围办事处语义
codex/f-acc-001-sds,770c91b777382e391658e0d13c704ffa3c130d37,UNMAPPED,docs/baseline/requirement-baseline.yaml,EXCLUDED_NON_CODE,decision,docs(prd): 基线化COM订单范围办事处语义
codex/f-acc-001-sds,770c91b777382e391658e0d13c704ffa3c130d37,UNMAPPED,"""docs/reports/2026-08-29-PRD-V1.8\344\277\256\350\256\242008\345\237\272\347\272\277\345\217\230\346\233\264\346\212\245\345\221\212.md""",APPLIED_CODE,decision,docs(prd): 基线化COM订单范围办事处语义
codex/f-acc-001-sds,770c91b777382e391658e0d13c704ffa3c130d37,UNMAPPED,"""specs/001-project-delivery-platform/domains/COM-\345\220\210\345\220\214\350\256\242\345\215\225\345\261\245\347\272\246\351\234\200\346\261\202\350\247\204\346\240\274.md""",APPLIED_CODE,decision,docs(prd): 基线化COM订单范围办事处语义
